,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
98,2000,83,13000000,46729800,73180723,13.130999999999998,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2789968301,73180723,3,187
99,2002,115,42000000,41543917,63781810,13.493,1.7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2789968301,63781810,4,187
100,2001,95,50000000,33426971,39976235,13.262,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,53478166,2,187
101,2002,81,59000000,176387405,383257136,13.493,1.7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,383257136,2,187
102,2001,98,25000000,36845124,64437847,13.262,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,64437847,1,187
103,2002,85,10000000,28564995,34411240,13.493,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,126809881,2,187
104,2005,101,30000000,51100486,126809881,14.913,3.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2789968301,126809881,2,187
105,2003,102,38000000,7660806,11560806,13.879,2.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2789968301,161626121,5,187
106,2003,95,18000000,56127162,101564935,13.879,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,574480841,11,187
107,2003,98,40000000,138614544,190538630,13.879,2.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,574480841,11,187
108,2006,108,110000000,250863268,574480841,15.338,2.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,574480841,11,187
109,2009,105,150000000,177243721,413106170,15.209,-2.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,574480841,11,187
110,2010,88,55000000,98711404,152263880,15.599,2.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,574480841,11,187
111,2013,119,58000000,44672764,93492844,16.495,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,574480841,11,187
112,2014,98,127000000,113746621,363204635,16.912,2.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,574480841,11,187
113,2002,99,47000000,14973382,30002758,13.493,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2789968301,450717150,25,187
114,2003,138,150000000,93927920,210327920,13.879,2.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,264118201,4,187
115,2005,106,14000000,32647042,33589427,14.913,3.5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,154906693,7,187
116,2005,144,130000000,47398413,211652051,14.913,3.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,630161890,18,187
117,2012,124,130000000,126477084,403354469,16.197,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2789968301,630161890,18,187
118,2017,122,97000000,74262031,240891763,18.108,2.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2789968301,630161890,18,187
119,2015,144,108000000,228433663,630161890,17.404,2.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,630161890,18,187
120,2007,128,110000000,134529403,383531464,15.626,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,383531464,4,187
121,2004,84,20000000,15714234,16796512,14.406,3.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,16796512,1,187
122,2004,115,120000000,144801023,347198023,14.406,3.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,347198023,5,187
123,2004,80,50000000,75369589,198964901,14.406,3.8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,198964901,4,187
124,2013,114,90000000,58236838,188133322,16.495,1.8,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,188133322,6,187
125,2004,110,30000000,14470947,14615099,14.406,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,212742720,8,187
126,2004,92,20000000,114326736,167722310,14.406,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2789968301,304868961,4,187
127,2004,101,60000000,80282231,172544654,14.406,3.8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2789968301,312242626,11,187
128,2006,104,210000000,234362462,459256008,15.338,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,459256008,10,187
129,2004,93,26000000,48116322,48551322,14.406,3.8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,368744044,2,187
130,2006,92,20000000,18844784,22164661,15.338,2.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,22164661,1,187
131,2006,99,40000000,70165972,138259062,15.338,2.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,138259062,5,187
132,2010,117,110000000,77222099,177238796,15.599,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,177238796,5,187
133,2009,87,40000000,21002919,46471023,15.209,-2.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,172936941,8,187
134,2019,122,170000000,85710210,404852543,19.073,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,404852543,13,187
135,2006,108,60000000,36280697,77920346,15.338,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,207725639,2,187
136,2008,104,30000000,20982478,68369434,15.605,-0.1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2789968301,68369434,1,187
137,2007,99,45000000,10232081,30822861,15.626,1.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,107362708,4,187
138,2005,94,60000000,82571173,129181830,14.913,3.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,212874864,9,187
139,2006,82,60000000,28426747,141702264,15.338,2.9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,361336633,5,187
140,2009,107,150000000,179883157,373062864,15.209,-2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,373062864,3,187
141,2007,87,75000000,183135014,527071022,15.626,1.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,527071022,1,187
142,2007,100,24000000,39687694,99965792,15.626,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,99965792,1,187
143,2010,98,100000000,81562942,167805466,15.599,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,250849789,12,187
144,2007,99,45000000,8794452,31400740,15.626,1.9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,31400740,2,187
145,2012,125,58000000,49876377,50365377,16.197,2.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2789968301,50365377,1,187
146,2008,88,85000000,80172128,222231186,15.605,-0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,478207520,8,187
147,2007,84,10000000,20342161,22021262,15.626,1.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,22021262,1,187
148,2007,94,40000000,41797066,128883756,15.626,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2789968301,128883756,2,187
149,2008,90,60000000,11803254,50650079,15.605,-0.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,159313561,9,187
150,2007,105,20000000,9534258,16974459,15.626,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,1515047671,9,187
151,2010,101,48000000,60022256,112462508,15.599,2.6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,172855065,4,187
152,2008,91,48000000,64506874,163403799,15.605,-0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2789968301,672806292,12,187
153,2008,104,80000000,79366978,233093859,15.605,-0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2789968301,677718395,5,187
154,2010,133,70000000,52474616,134748021,15.599,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,205405498,13,187
155,2008,99,35000000,80277646,219375562,15.605,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,219375562,2,187
156,2012,105,25000000,77267296,119772232,16.197,2.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,147880543,7,187
157,2009,85,30000000,9362785,55720772,15.209,-2.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,117719158,4,187
158,2011,131,160000000,146408305,352616690,15.841,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,414351546,5,187
159,2014,129,81000000,128261724,414351546,16.912,2.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,414351546,5,187
160,2017,141,104000000,100234838,410902662,18.108,2.4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,414351546,5,187
161,2012,102,68000000,35353000,68267862,16.197,2.2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2789968301,68267862,1,187
162,2011,105,93000000,176760185,481800873,15.841,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,481800873,3,187
163,2010,85,112000000,42779261,237382724,15.599,2.6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,431705346,3,187
