imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt0274711,People I Know,2002,2002-11-21,"Crime, Drama",100,"USA, Germany",English,Daniel Algrant,Jon Robin Baitz,Myriad Pictures,"Al Pacino, Kim Basinger, Ryan O'Neal, TĂ©a Leoni, Richard Schiff, Bill Nunn, Robert Klein, Mark Webber, Eldon Bullock, Juliet Papa, Ramsey Faragallah, Brian McConnachie, Frank Wood, Rex Reed, Lewis Dodley",A New York press agent must scramble when his major client becomes embroiled in a huge scandal.,5.5,10721,22000000,126793,5484302,81.0,41.0
tt0274812,Secretary,2002,2003-05-16,"Comedy, Drama, Romance",107,USA,English,Steven Shainberg,"Erin Cressida Wilson, Mary Gaitskill",Slough Pond,"James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren, Stephen McHattie, Patrick Bauchau, Jessica Tuck, Oz Perkins, Amy Locane, Mary Joy, Michael Mantell, Lily Knight, Sabrina Grdevich, Lacey Kohl, Julene Renee","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",7.0,78569,4000000,4059680,9304609,413.0,171.0
tt0275022,Crossroads,2002,2002-03-29,"Comedy, Drama, Romance",93,USA,English,Tamra Davis,Shonda Rhimes,Fuzzy Bunny Films (I),"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning, Dan Aykroyd, Kim Cattrall, Justin Long, Beverly Johnson, Bahni Turpin, Kool Moe Dee, Richard Voll, Katherine Boecher, Dave Allen, Kyle Davis, Branden Williams","Three childhood best friends, and a guy they just met, take a road trip across the country, finding themselves and their friendship in the process.",3.5,37355,12000000,37191304,61141030,573.0,116.0
tt0275491,La mala educaciĂłn,2004,2004-06-25,"Crime, Drama",106,Spain,"Spanish, Latin",Pedro AlmodĂłvar,Pedro AlmodĂłvar,Canal+ EspaĂ±a,"Gael GarcĂ­a Bernal, Fele MartĂ­nez, Daniel GimĂ©nez Cacho, LluĂ­s Homar, Francisco Maestre, Francisco Boira, Juan FernĂˇndez, Nacho PĂ©rez, RaĂşl GarcĂ­a Forneiro, Javier CĂˇmara, Alberto Ferreiro, Petra MartĂ­nez, Sandra, Roberto Hoyas",An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.,7.4,52470,5000000,5284284,40346372,165.0,180.0
tt0275719,Tape,2001,2002-07-12,Drama,86,USA,English,Richard Linklater,"Stephen Belber, Stephen Belber",Detour Filmproduction,"Ethan Hawke, Robert Sean Leonard, Uma Thurman",Three old high school friends meet in a Michigan motel room to dissect painful memories from their past.,7.3,17912,100000,490475,515900,111.0,56.0
tt0275847,Lilo & Stitch,2002,2002-10-18,"Animation, Adventure, Comedy",85,USA,"English, Hawaiian","Dean DeBlois, Chris Sanders","Chris Sanders, Chris Sanders",Walt Disney Pictures,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames, Zoe Caldwell, Jason Scott Lee, Kevin Michael Richardson, Susan Hegarty, Amy Hill, Steve Alterman, Emily Anderson, Jack Angel, Bill Asing",A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.,7.2,154817,80000000,145794338,273144151,380.0,195.0
tt0276033,The Country Bears,2002,2002-07-26,"Comedy, Family, Music",88,USA,English,Peter Hastings,Mark Perez,Walt Disney Pictures,"Haley Joel Osment, Diedrich Bader, Candy Ford, James Gammon, Brad Garrett, Toby Huss, Kevin Michael Richardson, Stephen Root, Christopher Walken, Stephen Tobolowsky, Daryl Mitchell, M.C. Gainey, Alex Rocco, Meagen Fay, Eli Marienthal",Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.,4.1,4682,35000000,16990825,18012097,78.0,38.0
tt0276751,About a Boy,2002,2002-04-26,"Comedy, Drama, Romance",101,"UK, USA, France, Germany",English,"Chris Weitz, Paul Weitz","Nick Hornby, Peter Hedges",Universal Pictures,"Hugh Grant, Nicholas Hoult, Sharon Small, Madison Cook, Jordan Cook, Nicholas Hutchison, Ryan Speechley, Joseph Speechley, Toni Collette, Natalia Tena, Laura Kennington, Tanika Swaby, Peter McNicholl, Chris Webster, Ben Ridgeway","A cynical, immature young man is taught how to act like a grown-up by a little boy.",7.0,164397,30000000,41385278,130549455,420.0,167.0
tt0276816,Below,2002,2002-10-18,"Action, Horror, Mystery",105,USA,English,David Twohy,"Lucas Sussman, Darren Aronofsky",Dimension Films,"Matthew Davis, Bruce Greenwood, Holt McCallany, Dexter Fletcher, Nick Chinlund, Olivia Williams, Scott Foley, Andrew Howard, Christopher Fairbank, Chuck Ellsworth, Crispin Layfield, Jonathan Hartman, Sebastian Knapp, Max Casali, Alexis Conran",Strange happenings occur on a WW II submarine.,6.1,20064,40000000,605562,2622015,155.0,44.0
tt0276919,Dogville,2003,2003-05-21,"Crime, Drama",178,"Denmark, Netherlands, Sweden, Germany, UK, France, Finland, Norway, Italy",English,Lars von Trier,Lars von Trier,Zentropa Entertainments,"Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr, Paul Bettany, Blair Brown, James Caan, Patricia Clarkson, Jeremy Davies, Ben Gazzara, Philip Baker Hall, Thom Hoffman, Siobhan Fallon Hogan, John Hurt, Zeljko Ivanek","A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away.",8.0,128983,10000000,1535286,16689283,631.0,224.0
