,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income
22,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0113347,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",How to Make an American Quilt,1995,10.63,2.7,117,USA,Jocelyn Moorhouse,10000000,23600020,41200020
23,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0114369,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]",Se7en,1995,10.63,2.7,127,USA,David Fincher,33000000,100125643,327311859
24,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt0114148,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]",Pocahontas,1995,10.63,2.7,81,USA,"Mike Gabriel, Eric Goldberg",55000000,141579773,346079773
25,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0114814,"[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]",The Usual Suspects,1995,10.63,2.7,106,"USA, Germany",Bryan Singer,6000000,23341568,23341568
26,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0113819,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Magnolia Pictures', 'id': 1030}]",Mighty Aphrodite,1995,10.63,2.7,95,USA,Woody Allen,15000000,6468498,6468498
27,"[{'id': 35, 'name': 'Comedy'}]",tt0113118,"[{'name': 'New Line Cinema', 'id': 12}]",Friday,1995,10.63,2.7,91,USA,F. Gary Gray,3500000,27467564,28215918
28,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",tt0113010,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",Fair Game,1995,10.63,2.7,91,USA,Andrew Sipes,50000000,11534477,11534477
29,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0114660,"[{'name': 'Miramax Films', 'id': 14}]",Things to Do in Denver When Youre Dead,1995,10.63,2.7,115,USA,Gary Fleder,7000000,529766,529766
30,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0113972,"[{'name': 'Paramount Pictures', 'id': 4}]",Nick of Time,1995,10.63,2.7,90,USA,John Badham,33000000,8175346,8175346
31,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",tt0114825,"[{'name': 'Paramount Pictures', 'id': 4}]",Vampire in Brooklyn,1995,10.63,2.7,100,USA,Wes Craven,20000000,19751736,19751736
32,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112579,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",The Bridges of Madison County,1995,10.63,2.7,135,USA,Clint Eastwood,24000000,71516617,182016617
33,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",tt0112573,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]",Braveheart,1995,10.63,2.7,178,USA,Mel Gibson,72000000,75609945,213216216
34,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0114536,"[{'name': 'Savoy Pictures', 'id': 11308}]",Steal Big Steal Little,1995,10.63,2.7,135,USA,Andrew Davis,35000000,3150170,3150170
35,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",tt0113451,"[{'name': 'Paramount Pictures', 'id': 4}]",Jade,1995,10.63,2.7,95,USA,William Friedkin,50000000,9851610,9851610
36,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0112442,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",Bad Boys,1995,10.63,2.7,119,USA,Michael Bay,19000000,65807024,141407024
37,"[{'id': 18, 'name': 'Drama'}]",tt0112384,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",Apollo 13,1995,10.63,2.7,140,USA,Ron Howard,52000000,173837933,355237933
38,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",tt0112462,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}]",Batman Forever,1995,10.63,2.7,121,"USA, UK",Joel Schumacher,100000000,184069126,336567531
39,"[{'id': 35, 'name': 'Comedy'}]",tt0112541,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'InterAL', 'id': 30334}]",Blue in the Face,1995,10.63,2.7,83,USA,"Paul Auster, Wayne Wang",2000000,1268636,1268636
40,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",tt0109370,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]",Canadian Bacon,1995,10.63,2.7,91,"USA, Canada",Michael Moore,11000000,163971,163971
41,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0112642,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'The Harvey Entertainment Company', 'id': 11098}]",Casper,1995,10.63,2.7,100,USA,Brad Silberling,50000000,100328194,287928194
42,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt0112688,"[{'name': 'Universal Pictures', 'id': 33}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]",Clockers,1995,10.63,2.7,128,USA,Spike Lee,25000000,13071518,13071518
