imdb_title_id,title,year,genre,duration,country,language,director,writer,production_company,actors,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt1641841,Skin Trade,2014,"Action, Crime, Thriller",96,"Thailand, Canada, USA","English, Thai",Ekachai Uekrongtham,"Dolph Lundgren, Steven Elder",Baumgarten Management and Productions (BMP),"Dolph Lundgren, Tony Jaa, Michael Jai White, Ron Perlman, Celina Jade, Peter Weller, Matthew James Ryder, Sahajak Boonthanakit, Mike Dopud, Leo Rano, David Westerman, Michael G Selby, Maethi Thapthimthong, Tasya Teles, Chloe Babcook",9000000,1242,595268,53.0,77.0
tt1645170,The Dictator,2012,Comedy,83,USA,"English, Hebrew, Arabic",Larry Charles,"Sacha Baron Cohen, Alec Berg",Paramount Pictures,"Sacha Baron Cohen, Sayed Badreya, Rocky Citron, Liam Campora, Aasif Mandvi, Rizwan Manji, Rick Chambers, Elsayed Mohamed, Adeel Akhtar, Horatio Sanz, Ben Kingsley, Elena Goode, Nazanin Homa, Dawn Jackson, Victoria Beltran",65000000,59650222,179379533,341.0,317.0
tt1646971,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",102,USA,English,Dean DeBlois,"Dean DeBlois, Cressida Cowell",DreamWorks Animation,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington, Kieron Elliott, Philip McGrade, Andrew Ableson, Gideon Emery",145000000,177002924,621537519,390.0,313.0
tt1646980,The Double,2011,"Action, Crime, Drama",98,"USA, United Arab Emirates","English, Russian, Spanish",Michael Brandt,"Michael Brandt, Derek Haas",Hyde Park Entertainment,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan, Stephen Moyer, Chris Marquette, Odette Annable, Stana Katic, Yuri Sardarov, Ivan Fedorov, Ed Kelly, Jeffrey Pierce, Lawrence Gilliard Jr., Mike Kraft, Andy Manning",13500000,137921,3696232,93.0,85.0
tt1646987,Wrath of the Titans,2012,"Action, Adventure, Fantasy",99,"Spain, USA",English,Jonathan Liebesman,"Dan Mazeau, David Leslie Johnson-McGoldrick",Warner Bros.,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar RamÄ‚Â­rez, Toby Kebbell, Rosamund Pike, Bill Nighy, Danny Huston, John Bell, Lily James, Alejandro Naranjo, Freddy Drabble, Kathryn Carpenter, Matt Milne, Kett Turton",150000000,83670083,301970083,259.0,316.0
tt1647668,Million Dollar Arm,2014,"Biography, Drama, Sport",124,USA,"English, Hindi",Craig Gillespie,Tom McCarthy,Walt Disney Pictures,"Jon Hamm, Pitobash, Suraj Sharma, Madhur Mittal, Aasif Mandvi, Darshan Jariwala, Lake Bell, Alan Arkin, Bill Paxton, Gregory Alan Williams, Allyn Rachel, Tzi Ma, Rey Maualuga, Bar Paly, Jaspaul Sandhu",25000000,36457627,38307627,107.0,153.0
tt1648179,Here Comes the Boom,2012,"Action, Comedy, Sport",105,USA,"English, Dutch",Frank Coraci,"Allan Loeb, Kevin James",Columbia Pictures,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann, Joe Rogan, Gary Valentine, Jake Zyrus, Bas Rutten, Reggie Lee, Mark DellaGrotte, Mookie Barker, Jackie Flynn, Nikki Tyler-Flynn, Melissa Peterman, Thomas Gallagher",42000000,45290318,73100172,130.0,154.0
tt1648190,The Dark Tower,2017,"Action, Adventure, Fantasy",95,USA,English,Nikolaj Arcel,"Akiva Goldsman, Jeff Pinkner",Columbia Pictures,"Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert, Ben Gavin, Claudia Kim, Jackie Earle Haley, Fran Kranz, Abbey Lee, Katheryn Winnick, Nicholas Pauling, Michael Barbieri, JosÄ‚Â© ZÄ‚ĹźÄ‚Â±iga, Nicholas Hamilton, Inge Beckmann",60000000,50701325,113231078,730.0,344.0
tt1649419,Lo imposible,2012,"Drama, History, Thriller",114,"Spain, USA","English, Thai, Swedish",J.A. Bayona,"Sergio G. SÄ‚Ë‡nchez, MarÄ‚Â­a BelÄ‚Ĺ‚n",Mediaset EspaÄ‚Â±a,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, SÄ‚Â¶nke MÄ‚Â¶hring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh, Johan Sundberg, Jan Roland Sundberg, La-Orng Thongruang, Tor Klathaley, Douglas Johansson",45000000,19019882,198087212,399.0,381.0
tt1649780,"Peace, Love & Misunderstanding",2011,"Comedy, Drama, Music",96,USA,English,Bruce Beresford,"Christina Mengert, Joseph Muszynski",BCDF Pictures,"Kyle MacLachlan, Catherine Keener, Joseph Dunn, Ann Osmond, Teri Gibson, Robert Bowen Jr., Wayne Pyle, Alison Ball, Nat Wolff, Elizabeth Olsen, Jane Fonda, Joyce Van Patten, Laurent Rejto, Jeffrey Dean Morgan, Edward Morgan",10000000,590700,1105020,39.0,50.0
tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy, Family",99,USA,English,David Bowers,"Gabe Sachs, Jeff Judah",Fox 2000 Pictures,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn, Connor Fielding, Owen Fielding, Peyton List, Karan Brar, Laine MacNeil, Grayson Russell, Terence Kelly, Fran Kranz, Bryce Hodgson, Andrew McNee",21000000,52698535,72417394,50.0,101.0
tt1650062,Super 8,2011,"Mystery, Sci-Fi, Thriller",112,USA,English,J.J. Abrams,J.J. Abrams,Paramount Pictures,"Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee, Zach Mills, Riley Griffiths, Gabriel Basso, Kyle Chandler, Ron Eldard, AJ Michalka, Andrew Miller, Jakob Miller, Jade Griffiths, Britt Flatmo, Elle Fanning",50000000,127004179,260095986,883.0,557.0
tt1650537,Inkubus,2011,Horror,80,USA,English,Glenn Ciano,"Glenn Ciano, Carl V. DuprÄ‚Â©",Woodhaven Production Company,"Robert Englund, William Forsythe, Joey Fatone, Jonathan Silverman, Tom Paolino, Sera Verdi, Tom DeNucci, Nicholas John Bilotta, Mike Cerrone, Jessica Conlan, Kevin DeCristofano, Dyan Kane, Brinton MacFarland, Aubie Merrylees, Anthony Paolucci",1500000,81600,81600,16.0,22.0
tt1650554,Kick-Ass 2,2013,"Action, Adventure, Comedy",103,"USA, UK",English,Jeff Wadlow,"Jeff Wadlow, Mark Millar",Universal Pictures,"Aaron Taylor-Johnson, ChloÄ‚Â« Grace Moretz, Morris Chestnut, Claudia Lee, Amy Anzel, Clark Duke, Augustus Prew, Mary Kitchen, Donald Faison, Matt Steinberg, Steven Mackintosh, Monica Dolan, Garrett M. Brown, Lyndsy Fonseca, Christopher Mintz-Plasse",28000000,28795985,60795985,390.0,355.0
tt1653002,Dysfunctional Friends,2012,"Comedy, Drama",111,USA,English,Corey Grant,Corey Grant,Datari Turner Productions,"Stacey Dash, Wesley Jonathan, Jason Weaver, Reagan Gomez-Preston, Stacy Keibler, Persia White, Hosea Chanchez, Datari Turner, Christian Keyes, Terrell Owens, Tatyana Ali, Essence Atkins, Meagan Good, Keith Robinson, Jerkins Rodney",5000000,13546,13546,9.0,4.0
