,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies
64,2011,158,90000000,102515793,232617430,15.841,1.6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1131845802,369330363,10
65,2008,166,150000000,127509326,333932083,15.605,-0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1341932398,369330363,10
66,1997,129,50000000,48323648,109423648,11.522,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,363944522,369330363,10
67,1995,127,33000000,100125643,327311859,10.63,2.7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,327311859,369330363,10
68,1999,139,63000000,37030102,101187217,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,609016565,369330363,10
69,1992,86,7000000,16624456,16624456,9.685,3.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,16624456,1
70,1992,140,35000000,24276506,29302121,9.685,3.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,33459416,4
71,2002,109,50000000,8364691,8382938,13.493,1.7,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,33459416,4
72,1996,98,36000000,33459416,33459416,11.031,3.8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,314178011,33459416,4
73,2003,89,40000000,9692135,19322135,13.879,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306776732,33459416,4
74,1992,120,18000000,173585516,365070556,9.685,3.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,978087613,11
75,1993,125,25000000,219195243,441286195,9.952,2.8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,978087613,11
76,2015,105,88000000,78747585,244874809,17.404,2.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1131845802,978087613,11
77,2001,152,125000000,318087620,978087613,13.262,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,978087613,11
78,2002,161,100000000,262450136,879465594,13.493,1.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,978087613,11
79,1990,103,18000000,285761243,476684675,9.366,1.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,476684675,978087613,11
80,1998,125,50000000,91137662,159710793,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,314178011,978087613,11
81,1999,132,100000000,58223861,87423861,12.611,4.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,129832389,978087613,11
82,2010,118,95000000,88768303,226497209,15.599,2.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,609016565,978087613,11
83,2005,135,40000000,29077547,31670620,14.913,3.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,31670620,978087613,11
84,2009,102,18000000,14800725,15821907,15.209,-2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37466538,978087613,11
85,1992,120,11000000,52929168,64088552,9.685,3.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,106371651,5
86,2003,123,30000000,30250745,32445215,13.879,2.9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1123794079,106371651,5
87,1992,112,50000000,46666502,46666502,9.685,3.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672806292,106371651,5
88,1996,93,39000000,30356793,37956793,11.031,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273961019,106371651,5
89,2000,98,41300000,57262492,106371651,13.130999999999998,4.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106371651,106371651,5
90,1992,95,10000000,14356479,14356479,9.685,3.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,70992898,5
91,1997,107,40000000,25804707,25804707,11.522,4.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,70992898,5
92,1990,93,12000000,46044396,57968936,9.366,1.9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57968936,70992898,5
93,2004,97,20000000,32238923,70992898,14.406,3.8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,196114570,70992898,5
94,2017,93,6000000,6294,12944,18.108,2.4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12944,70992898,5
95,1993,95,12000000,5086909,5086909,9.952,2.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2789968301,34872033,3
96,1991,89,11000000,34872033,34872033,9.355,-0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1120424614,34872033,3
97,1995,104,25000000,4064495,4064495,10.63,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4064495,34872033,3
98,1993,125,35000000,63179523,107198790,9.952,2.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,107198790,3
99,2004,97,50000000,25198598,40954603,14.406,3.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1123794079,107198790,3
100,2000,124,13500000,7065332,17989227,13.130999999999998,4.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,329398046,107198790,3
101,1993,103,10000000,53615089,56500758,9.952,2.8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,56500758,1
102,1994,99,48000000,16827402,16827402,10.352,4.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,16827402,2
103,1990,100,3000000,15369573,15369573,9.366,1.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27931461,16827402,2
104,1994,99,25000000,15240435,15240435,10.352,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,15240435,3
105,1992,105,18000000,1014726,1014726,9.685,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191502426,15240435,3
106,1999,100,25000000,10115013,10115013,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,609016565,15240435,3
107,1994,79,8000000,4330020,4330020,10.352,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,4330020,1
108,1994,80,27000000,13670688,13670688,10.352,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,13670688,1
109,1994,141,115000000,146282411,378882411,10.352,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,2789968301,4
110,1997,194,200000000,659363944,2187463944,11.522,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,2789968301,4
111,2009,162,237000000,760507625,2789968301,15.209,-2.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,2789968301,4
112,1991,137,102000000,205881154,520884847,9.355,-0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520884847,2789968301,4
113,1995,101,40000000,14942422,14942422,10.63,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,56714147,5
114,1992,107,16000000,48017402,48017402,9.685,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,56714147,5
115,2002,115,50000000,31945749,56714147,13.493,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,56714147,5
116,1996,108,35000000,8797839,8797839,11.031,3.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,164839294,56714147,5
117,1998,100,50000000,13806137,13806137,12.038,4.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131457682,56714147,5
118,1995,95,15000000,38187431,66433194,10.63,2.7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,66433194,3
119,1997,115,35000000,31642995,32748995,11.522,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670400637,66433194,3
120,1997,108,31190000,4529843,4529843,11.522,4.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529843,66433194,3
121,1995,124,16000000,67052156,81452156,10.63,2.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,81471882,3
122,1998,114,30000000,60053195,81471882,12.038,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,81471882,3
123,2004,106,30000000,9055921,10592180,14.406,3.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,532950503,81471882,3
124,1995,102,20000000,50008143,50008143,10.63,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,50008143,1
125,1996,108,50000000,70770147,150270147,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,546388105,6
126,2000,123,125000000,215409889,546388105,13.130999999999998,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,546388105,6
127,2003,119,60000000,53790451,96269812,13.879,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1123794079,546388105,6
128,1993,97,18000000,32589677,74189677,9.952,2.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1670400637,546388105,6
129,2002,134,115000000,40914068,77628265,13.493,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1017003568,546388105,6
130,1997,138,80000000,112276146,245676146,11.522,4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,245676146,546388105,6
131,1996,124,25000000,7343114,7343114,11.031,3.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2789968301,46905889,3
132,1998,111,15000000,29187243,46905889,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,46905889,3
133,2000,115,29000000,17200925,26385941,13.130999999999998,4.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1131845802,46905889,3
134,1996,92,31000000,25785603,37553752,11.031,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,37553752,3
135,1994,105,25000000,30626182,30626182,10.352,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1341932398,37553752,3
136,1993,112,15000000,23032565,23032565,9.952,2.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,553709788,37553752,3
137,1996,145,75000000,306169268,817400891,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13
138,2004,124,125000000,186740799,542771772,14.406,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13
139,2016,120,165000000,103144286,389681935,17.689,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13
140,2000,165,110000000,113330342,215294342,13.130999999999998,4.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1131845802,817400891,13
141,2009,158,200000000,166112167,788550900,15.209,-2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1131845802,817400891,13
142,2011,130,30000000,4463292,15395087,15.841,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,817400891,13
143,2013,131,150000000,73103784,205366737,16.495,1.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,817400891,13
144,2008,109,105000000,94784201,269784201,15.605,-0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,817400891,13
145,1994,116,55000000,71567262,196567262,10.352,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,196567262,817400891,13
146,1992,102,23000000,36299898,36299898,9.685,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,268047808,817400891,13
147,1998,139,130000000,136314294,379014294,12.038,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,379014294,817400891,13
148,2015,129,13500000,187674,292669,17.404,2.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,292669,817400891,13
149,2019,138,100000000,26390773,45002771,19.073,2.3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,45002771,817400891,13
150,2001,104,22000000,4274407,5271666,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2789968301,5271666,1
151,1997,94,50000000,58406347,139804348,11.522,4.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,139804348,5
152,1995,74,28000000,3983912,3983912,10.63,2.7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017003568,139804348,5
153,1991,77,18000000,11657385,11657385,9.355,-0.1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11657385,139804348,5
154,1994,86,28000000,11373501,11373501,10.352,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11373501,139804348,5
155,2000,94,75000000,22753426,36754634,13.130999999999998,4.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36754634,139804348,5
156,1998,108,30000000,26528185,29202884,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,162738726,3
157,1990,105,47000000,103738726,162738726,9.366,1.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553709788,162738726,3
158,2016,127,25000000,3652206,3885342,17.689,1.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127037114,162738726,3
159,1998,85,71500000,144156605,294456605,12.038,4.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,443140005,7
160,2006,89,18000000,41011711,68824550,15.338,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,443140005,7
161,1995,90,12000000,46576136,46576136,10.63,2.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,443140005,7
162,1997,109,28000000,41230799,41230799,11.522,4.4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,443140005,7
163,2000,103,43000000,37170488,62198945,13.130999999999998,4.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,443140005,7
164,2002,97,70000000,33561137,50732945,13.493,1.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,443140005,7
165,2009,88,75000000,219614612,443140005,15.209,-2.5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609016565,443140005,7
166,1997,102,32000000,30882515,79082515,11.522,4.4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,563749323,10
167,2000,99,30000000,117559438,173959438,13.130999999999998,4.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,563749323,10
168,2005,88,45000000,53412862,72028752,14.913,3.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1123794079,563749323,10
169,2011,103,110000000,142614158,563749323,15.841,1.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,563749323,10
170,2013,105,105000000,71017784,347545360,16.495,1.8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,563749323,10
171,2002,86,84000000,153294164,275650703,13.493,1.7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,563749323,10
172,2004,93,80000000,84216833,181216833,14.406,3.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,563749323,10
