,Unnamed: 0,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income,DirectorGrossSum,ProductionCompSum,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
1546,1546,"[14, 28, 878, 53]",tt0401855,"[126, 3287]",Underworld: Evolution,2006,15.338,2.9,106,USA,Len Wiseman,50000000,62318875,111340801,95708457.0,736212166.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1547,1547,[18],tt0417433,[9195],Annapolis,2006,15.338,2.9,108,USA,Justin Lin,26000000,17127992,17496992,1.0,8394850197.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1548,1548,"[35, 80]",tt0421729,"[306, 508, 1171, 1838, 2646, 10104, 47635, 73956, 79036]",Big Mommas House 2,2006,15.338,2.9,99,USA,John Whitesell,40000000,70165972,138259062,2570550.0,2812795136.888889,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1549,1549,"[27, 9648]",tt0414982,"[12, 3169, 12067, 48772, 48785, 48788]",Final Destination 3,2006,15.338,2.9,93,"USA, Germany",James Wong,25000000,54098051,117719158,186885985.0,1926866485.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1550,1550,"[12, 16, 35, 10751]",tt0381971,"[23, 33, 5556]",Curious George,2006,15.338,2.9,87,"USA, Germany, Taiwan, France, UK, Canada, Philippines, South Korea",Matthew OCallaghan,50000000,58360760,69834815,1.0,7873115713.666667,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1551,1551,[53],tt0408345,"[79, 3528, 6194, 10157, 10991]",Firewall,2006,15.338,2.9,105,USA,Richard Loncraine,50000000,48751189,82751189,41512007.0,6020280919.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1552,1552,"[27, 53]",tt0455857,"[1302, 3287]",When a Stranger Calls,2006,15.338,2.9,87,USA,Simon West,15000000,47860214,66966987,648421426.0,1442043631.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1553,1553,"[18, 53, 80, 9648]",tt0349467,"[258, 497]",Freedomland,2006,15.338,2.9,113,USA,Joe Roth,37665000,12512886,14655628,1.0,1848709541.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1554,1554,"[12, 18, 10751]",tt0397313,"[2, 158, 829, 7383, 10227, 20669]",Eight Below,2006,15.338,2.9,120,USA,Frank Marshall,40000000,81612565,120455994,188756010.0,2476811088.3333335,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1555,1555,[35],tt0466342,"[508, 1171, 10104]",Date Movie,2006,15.338,2.9,83,"USA, Switzerland","Aaron Seltzer, Jason Friedberg",20000000,48548426,84795656,1.0,2379958405.6666665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1556,1556,"[28, 80, 18, 53]",tt0404390,"[1507, 2227, 5357, 18621]",Running Scared,2006,15.338,2.9,122,"Germany, USA",Wayne Kramer,15000000,6855137,9380029,1.0,64961034.75,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1557,1557,"[18, 35, 10749]",tt0455612,[35],Madeas Family Reunion,2006,15.338,2.9,107,USA,Tyler Perry,6000000,63318000,63368939,1.0,1111943051.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1558,1558,"[878, 28, 53]",tt0370032,"[3287, 8003]",Ultraviolet,2006,15.338,2.9,88,USA,Kurt Wimmer,30000000,18535812,31070211,5368217.0,208351182.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1559,1559,"[35, 18, 10751, 14, 10749]",tt0397078,"[508, 890, 10104]",Just My Luck,2006,15.338,2.9,103,USA,Donald Petrie,28000000,17326650,38159905,441579361.0,1801769990.6666667,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1560,1560,"[27, 53]",tt0454919,[7405],Pulse,2006,15.338,2.9,90,USA,Jim Sonzero,20500000,20264436,29907685,1.0,2663207556.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1561,1561,"[28, 12, 80, 53]",tt0450232,"[431, 890, 1088, 4741, 10254, 10405, 10885, 10886]",16 Blocks,2006,15.338,2.9,102,"USA, Germany",Richard Donner,52000000,36895141,65664721,818397799.0,215324291.625,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1562,1562,[35],tt0427229,"[4, 258, 84423]",Failure to Launch,2006,15.338,2.9,97,USA,Tom Dey,50000000,88715192,128402901,177160139.0,5782697105.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1563,1563,"[16, 10751, 35, 12]",tt0438097,"[9383, 11749]",Ice Age: The Meltdown,2006,15.338,2.9,91,USA,Carlos Saldanha,80000000,195330621,667036530,1.0,743436581.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1564,1564,"[35, 18, 10751, 10749]",tt0454945,"[27, 126]",Shes the Man,2006,15.338,2.9,105,"USA, Canada",Andy Fickman,20000000,33741133,57194667,1.0,5731766987.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1565,1565,[18],tt0419749,"[1225, 8848, 9037, 12260, 26947, 95293, 95294, 95295, 95296]",Find Me Guilty,2006,15.338,2.9,125,"Germany, USA",Sidney Lumet,13000000,1173643,2636637,1.0,22391456.111111112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1566,1566,"[80, 18, 53]",tt0454848,"[23, 33, 4319]",Inside Man,2006,15.338,2.9,129,USA,Spike Lee,45000000,88513495,184376254,162845157.0,7952110708.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1567,1567,"[14, 10749, 10751, 35]",tt0429591,"[711, 7747]",Aquamarine,2006,15.338,2.9,104,USA,Elizabeth Allen Rosenbaum,12000000,18597342,22978953,1.0,640897964.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1568,1568,"[27, 53]",tt0454841,"[43, 444, 445, 1600]",The Hills Have Eyes,2006,15.338,2.9,107,"USA, France, Romania",Alexandre Aja,15000000,41778863,69623713,1.0,190434192.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1569,1569,"[35, 10751]",tt0393735,"[2, 10227, 12626]",The Shaggy Dog,2006,15.338,2.9,98,USA,Brian Robbins,50000000,61123569,87134280,56554751.0,3811738553.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1570,1570,[10402],tt0446046,"[12, 54512]",Take the Lead,2006,15.338,2.9,118,USA,Liz Friedlander,30000000,34742066,65742992,1.0,5031300720.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1571,1571,"[18, 53, 80, 9648]",tt0425210,"[308, 816, 826, 1204, 2116, 21962]",Lucky Number Slevin,2006,15.338,2.9,110,"Germany, UK, USA, Canada",Paul McGuigan,27000000,22495466,56308881,21741598.0,73903546.33333333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1572,1572,[18],tt0437800,"[35, 846, 879, 1708, 5227]",Akeelah and the Bee,2006,15.338,2.9,112,USA,Doug Atchison,8000000,18848430,18948425,1.0,286962211.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1573,1573,"[27, 53]",tt0441796,"[158, 915, 1205, 4022]",Stay Alive,2006,15.338,2.9,85,USA,William Brent Bell,7000000,23086480,27105095,1.0,1307544695.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1574,1574,"[80, 9648, 53]",tt0430912,"[763, 4169, 7340, 19116]",Basic Instinct 2,2006,15.338,2.9,114,"UK, Germany, Spain, USA",Michael Caton-Jones,70000000,5971336,38629478,189006983.0,672779698.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1575,1575,[18],tt0466856,[6194],ATL,2006,15.338,2.9,105,USA,Chris Robinson,20000000,21170563,21170563,1.0,23916188155.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1576,1576,"[35, 18, 10749]",tt0436331,[34],Friends with Money,2006,15.338,2.9,88,USA,Nicole Holofcener,6500000,13368437,18245244,4677852.0,64772636.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1577,1577,[35],tt0362120,[7405],Scary Movie 4,2006,15.338,2.9,83,USA,David Zucker,45000000,90710620,178262620,307603628.0,2663207556.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1578,1578,"[28, 53, 80]",tt0443632,"[306, 444, 445, 508, 1171, 10104, 28537, 33433]",The Sentinel,2006,15.338,2.9,108,USA,Clark Johnson,60000000,36280697,77920346,207725639.0,3153316410.625,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1579,1579,"[10751, 16]",tt0405469,"[2, 1836, 58323, 58324, 58325]",The Wild,2006,15.338,2.9,94,"Canada, USA",Steve Spaz Williams,80000000,37384046,102338515,1.0,2243353178.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1580,1580,"[27, 9648]",tt0384537,"[341, 342, 559, 55914]",Silent Hill,2006,15.338,2.9,125,"Canada, France, Japan, USA",Christophe Gans,50000000,46982632,97607453,1.0,1109730186.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1581,1581,"[35, 18, 10751]",tt0465142,"[33, 1473]",American Dreamz,2006,15.338,2.9,107,USA,Paul Weitz,17000000,7191830,16458459,1.0,10152036723.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1582,1582,"[12, 28, 53]",tt0317919,"[4, 44, 264, 658, 2269, 14714, 22102]",Mission: Impossible III,2006,15.338,2.9,126,"USA, Germany, China, Italy",J.J. Abrams,150000000,134029801,397850012,1.0,2691152701.857143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1583,1583,[35],tt0449089,"[5, 763, 7295, 14440, 19116, 93603]",RV,2006,15.338,2.9,99,"UK, Germany, USA",Barry Sonnenfeld,50000000,71726025,87528173,1582874716.0,1675141108.3333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1584,1584,"[18, 36, 80, 53, 28]",tt0475276,"[33, 694, 737, 10163]",United 93,2006,15.338,2.9,111,"USA, UK, France",Paul Greengrass,15000000,31483450,76286096,288702062.0,5860792118.5,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1585,1585,"[35, 16, 10751]",tt0327084,"[520, 521]",Over the Hedge,2006,15.338,2.9,83,USA,"Tim Johnson, Karey Kirkpatrick",80000000,155019340,336002996,1.0,2942749899.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1586,1586,"[12, 28, 18, 53]",tt0409182,"[449, 1633, 6194, 14024, 18990, 19943]",Poseidon,2006,15.338,2.9,98,USA,Wolfgang Petersen,160000000,60674817,181674817,1519652454.0,4266918135.1666665,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1587,1587,"[53, 9648]",tt0382625,"[5, 23, 8253, 19927]",The Da Vinci Code,2006,15.338,2.9,149,"USA, Malta, France, UK",Ron Howard,125000000,217536138,758239851,1725355610.0,2687591234.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1588,1588,"[12, 28, 878, 53]",tt0376994,"[289, 306, 431, 444, 445, 9168, 12247, 19551, 79028, 79029, 79030]",X-Men: The Last Stand,2006,15.338,2.9,104,"Canada, USA, UK",Brett Ratner,210000000,234362462,459256008,862590961.0,2124340639.3636363,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1589,1589,"[10749, 35]",tt0452594,"[33, 748, 2796]",The Break-Up,2006,15.338,2.9,106,USA,Peyton Reed,52000000,118703275,204963084,129918040.0,6895013472.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1590,1590,"[16, 12, 35, 10751]",tt0317219,"[2, 3]",Cars,2006,15.338,2.9,117,USA,"John Lasseter, Joe Ranft",120000000,244082982,461983149,1.0,7333505473.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1591,1591,"[18, 27, 53]",tt0466909,"[306, 519]",The Omen,2006,15.338,2.9,110,USA,John Moore,25000000,54607383,119498909,126339470.0,8976112368.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1592,1592,"[35, 10751]",tt0457510,"[4, 2348, 2777]",Nacho Libre,2006,15.338,2.9,92,"USA, Mexico",Jared Hess,35000000,80197993,99255460,46138887.0,5517277709.666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1593,1593,"[10749, 18, 9648]",tt0410297,"[79, 829, 1143, 6194]",The Lake House,2006,15.338,2.9,99,USA,Alejandro Agresti,40000000,52330111,114830111,1.0,7526424521.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1594,1594,"[35, 18, 14, 10749]",tt0389860,"[333, 441, 497, 2608]",Click,2006,15.338,2.9,107,USA,Frank Coraci,82500000,137355633,237681299,381477528.0,3103129493.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1595,1595,"[35, 18, 10749]",tt0458352,"[306, 444, 445, 682, 711]",The Devil Wears Prada,2006,15.338,2.9,109,"USA, France",David Frankel,35000000,124740460,326551094,1.0,3872904663.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1596,1596,"[12, 14, 28]",tt0383574,"[2, 130, 19936]",Pirates of the Caribbean: Dead Mans Chest,2006,15.338,2.9,151,USA,Gore Verbinski,225000000,423315812,1066179725,1192915140.0,4858336862.666667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1597,1597,"[35, 10749]",tt0463034,"[33, 11844, 59957]","You, Me and Dupree",2006,15.338,2.9,110,USA,"Anthony Russo, Joe Russo",54000000,75628110,130431368,1.0,6768024482.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1598,1598,[35],tt0424345,"[308, 16934]",Clerks II,2006,15.338,2.9,97,USA,Kevin Smith,5000000,24148068,26986174,118005375.0,189117209.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1599,1599,"[18, 53, 14, 9648]",tt0452637,"[923, 6194, 12236]",Lady in the Water,2006,15.338,2.9,110,USA,M. Night Shyamalan,70000000,42285169,72785169,1585869850.0,8400888336.666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1600,1600,"[18, 36]",tt0422720,"[70, 441, 6542, 12387, 20637, 20638]",Marie Antoinette,2006,15.338,2.9,123,"USA, France, Japan",Sofia Coppola,40000000,15962471,60917189,129094830.0,1477457333.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1601,1601,"[28, 80, 18, 53]",tt0463985,[33],The Fast and the Furious: Tokyo Drift,2006,15.338,2.9,104,"USA, Germany, Japan",Justin Lin,85000000,62514415,158468292,1.0,20304073446.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1602,1602,"[12, 14, 28, 878]",tt0348150,"[429, 923, 6194, 9168]",Superman Returns,2006,15.338,2.9,154,USA,Bryan Singer,270000000,200081192,391081192,727392645.0,6455044797.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1603,1603,"[35, 18]",tt0449059,"[43, 2570, 12808]",Little Miss Sunshine,2006,15.338,2.9,101,USA,"Jonathan Dayton, Valerie Faris",8000000,59891098,100523181,1.0,212127357.66666666,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1604,1604,[18],tt0449467,"[838, 2531, 10039, 11258]",Babel,2006,15.338,2.9,143,"France, USA, Mexico",Alejandro G. IĂ„â€šĂ‚Â±Ă„â€šĂ‹â€ˇrritu,25000000,34302837,135330182,60427839.0,67185252.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1605,1605,"[35, 80]",tt0430304,"[497, 1608]",Little Man,2006,15.338,2.9,98,"USA, Canada",Keenen Ivory Wayans,64000000,58645052,101595121,561719342.0,1279849210.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1606,1606,"[16, 35, 10751, 14]",tt0385880,"[5, 56, 2251, 5752, 11395]",Monster House,2006,15.338,2.9,91,USA,Gil Kenan,75000000,73661010,140175006,1.0,3287324529.2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1607,1607,"[28, 80, 27, 53]",tt0417148,[12],Snakes on a Plane,2006,15.338,2.9,105,"USA, Germany",David R. Ellis,33000000,34020814,62022014,146394394.0,10062601440.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1608,1608,"[35, 9648]",tt0457513,"[288, 289, 290, 291]",Scoop,2006,15.338,2.9,96,"UK, USA",Woody Allen,4000000,10525717,39215642,31221981.0,7664463.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1609,1609,[35],tt0415306,"[5, 10105]",Talladega Nights: The Ballad of Ricky Bobby,2006,15.338,2.9,108,USA,Adam McKay,72500000,148213377,162966177,90517748.0,3851493818.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1610,1610,"[28, 12, 35, 10751, 14]",tt0477347,"[289, 306, 436, 2575]",Night at the Museum,2006,15.338,2.9,108,"USA, UK",Shawn Levy,110000000,250863268,574480841,345073579.0,5330430921.5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
