,Unnamed: 0,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income,DirectorGrossSum,ProductionCompSum,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
0,0,"[16, 35, 10751]",tt0114709,[3],Toy Story,1995,10.63,2.7,81,USA,John Lasseter,30000000,222498679,406594102,1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,"[12, 14, 10751]",tt0113497,"[559, 2550, 10201]",Jumanji,1995,10.63,2.7,104,USA,Joe Johnston,65000000,100499940,262821940,46704056.0,644621671.6666666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,"[35, 18, 10749]",tt0114885,[306],Waiting to Exhale,1995,10.63,2.7,124,USA,Forest Whitaker,16000000,67052156,81452156,1.0,3220092674.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3,3,"[28, 80, 18, 53]",tt0113277,"[508, 675, 6194]",Heat,1995,10.63,2.7,170,USA,Michael Mann,60000000,67436818,187436818,75505856.0,1502521629.6666667,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
4,4,"[28, 12, 53]",tt0114576,"[33, 21437, 23770]",Sudden Death,1995,10.63,2.7,111,USA,Peter Hyams,35000000,20350171,64350171,112382982.0,1225619594.3333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,5,"[12, 28, 53]",tt0113189,"[60, 7576]",GoldenEye,1995,10.63,2.7,130,"UK, USA",Martin Campbell,60000000,106429941,352194034,15339030.0,59973179.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,6,"[35, 18, 10749]",tt0112346,"[5, 97]",The American President,1995,10.63,2.7,114,USA,Rob Reiner,62000000,60079496,107879496,304517050.0,509481348.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
7,7,"[36, 18]",tt0113987,"[915, 1504]",Nixon,1995,10.63,2.7,192,USA,Oliver Stone,44000000,13681765,13681765,290105157.0,317891697.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,8,"[28, 12]",tt0112760,"[183, 415, 8411, 14723]",Cutthroat Island,1995,10.63,2.7,124,"France, Italy, Germany, USA",Renny Harlin,98000000,10017322,10017322,255000211.0,321448328.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,"[18, 80]",tt0112641,"[33, 10898, 11583, 11584]",Casino,1995,10.63,2.7,178,"USA, France",Martin Scorsese,52000000,42512375,116112375,214547409.0,919214695.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,"[18, 10749]",tt0114388,"[441, 932]",Sense and Sensibility,1995,10.63,2.7,136,"USA, UK",Ang Lee,16000000,43182776,134582776,1.0,516048572.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,11,"[80, 35]",tt0113101,"[14, 59]",Four Rooms,1995,10.63,2.7,98,USA,"Allison Anders, Alexandre Rockwell",4000000,4257354,4257354,1.0,251970796.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,12,"[80, 35, 12]",tt0112281,"[5682, 6194, 10210]",Ace Ventura: When Nature Calls,1995,10.63,2.7,90,USA,Steve Oedekerk,30000000,108385533,212385533,1.0,1529056234.6666667,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,13,"[28, 35, 80]",tt0113845,[5],Money Train,1995,10.63,2.7,110,USA,Joseph Ruben,68000000,35431113,35431113,235612013.0,557881499.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
14,14,"[35, 53, 80]",tt0113161,"[216, 8411]",Get Shorty,1995,10.63,2.7,105,USA,Barry Sonnenfeld,30250000,72101622,115101622,202648696.0,167842751.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
15,15,"[28, 12, 80, 53]",tt0112401,"[1885, 5358, 6194, 10308, 23397, 25061]",Assassins,1995,10.63,2.7,132,"France, USA",Richard Donner,50000000,30303072,30303072,321731527.0,997329602.8333334,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
16,16,"[18, 10749]",tt0113627,"[60, 15547]",Leaving Las Vegas,1995,10.63,2.7,111,"France, UK, USA",Mike Figgis,3600000,32029928,32029928,1.0,59973179.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,17,"[878, 53, 9648]",tt0114746,"[33, 507, 17031]",Twelve Monkeys,1995,10.63,2.7,129,USA,Terry Gilliam,29000001,57141459,168839459,41895491.0,1225619594.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
18,18,"[14, 18, 35, 10751]",tt0112431,"[33, 2537]",Babe,1995,10.63,2.7,91,"Australia, USA",Chris Noonan,30000000,63658910,254134910,1.0,1838429391.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
19,19,[18],tt0112818,"[406, 1382, 10163]",Dead Man Walking,1995,10.63,2.7,122,"UK, USA",Tim Robbins,11000000,39363635,39363635,1.0,154788688.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,20,"[28, 14]",tt0113855,"[12, 4174]",Mortal Kombat,1995,10.63,2.7,101,USA,Paul W.S. Anderson,18000000,70454098,122195920,1.0,578842024.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,21,"[14, 18, 35, 53]",tt0114681,"[364, 441]",To Die For,1995,10.63,2.7,106,"USA, UK, Canada",Gus Van Sant,20000000,21284514,21284514,1.0,380924389.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
22,22,"[18, 10749]",tt0113347,"[33, 56]",How to Make an American Quilt,1995,10.63,2.7,117,USA,Jocelyn Moorhouse,10000000,23600020,41200020,1.0,2928237258.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
23,23,"[80, 9648, 53]",tt0114369,"[12, 4286, 65394]",Se7en,1995,10.63,2.7,127,USA,David Fincher,33000000,100125643,327311859,159814498.0,385894683.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
24,24,"[12, 16, 18, 10751]",tt0114148,"[2, 10217]",Pocahontas,1995,10.63,2.7,81,USA,"Mike Gabriel, Eric Goldberg",55000000,141579773,346079773,1.0,1680230858.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,25,"[18, 80, 53]",tt0114814,"[361, 9168]",The Usual Suspects,1995,10.63,2.7,106,"USA, Germany",Bryan Singer,6000000,23341568,23341568,1.0,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
26,26,"[35, 10749]",tt0113819,"[14, 1030]",Mighty Aphrodite,1995,10.63,2.7,95,USA,Woody Allen,15000000,6468498,6468498,14066642.0,144881252.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,27,[35],tt0113118,[12],Friday,1995,10.63,2.7,91,USA,F. Gary Gray,3500000,27467564,28215918,1.0,1157684049.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,28,"[28, 53, 10749]",tt0113010,"[1885, 6194]",Fair Game,1995,10.63,2.7,91,USA,Andrew Sipes,50000000,11534477,11534477,1.0,2243889570.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
29,29,"[18, 80]",tt0114660,[14],Things to Do in Denver When Youre Dead,1995,10.63,2.7,115,USA,Gary Fleder,7000000,529766,529766,1.0,289762505.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,30,"[80, 18, 53]",tt0113972,[4],Nick of Time,1995,10.63,2.7,90,USA,John Badham,33000000,8175346,8175346,1.0,3016296011.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
31,31,"[35, 27, 10749]",tt0114825,[4],Vampire in Brooklyn,1995,10.63,2.7,100,USA,Wes Craven,20000000,19751736,19751736,19721741.0,3016296011.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
32,32,"[18, 10749]",tt0112579,"[56, 171, 6194]",The Bridges of Madison County,1995,10.63,2.7,135,USA,Clint Eastwood,24000000,71516617,182016617,315922320.0,2156560525.3333335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,33,"[28, 18, 36, 10752]",tt0112573,"[4564, 7965, 11353]",Braveheart,1995,10.63,2.7,178,USA,Mel Gibson,72000000,75609945,213216216,1.0,0.3333333333333333,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34,34,"[35, 18]",tt0114536,[11308],Steal Big Steal Little,1995,10.63,2.7,135,USA,Andrew Davis,35000000,3150170,3150170,525438899.0,25108587.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,35,"[28, 53, 9648, 10749]",tt0113451,[4],Jade,1995,10.63,2.7,95,USA,William Friedkin,50000000,9851610,9851610,1.0,3016296011.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
36,36,"[28, 35, 80, 53]",tt0112442,"[5, 10288]",Bad Boys,1995,10.63,2.7,119,USA,Michael Bay,19000000,65807024,141407024,1.0,284660346.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
37,37,[18],tt0112384,"[23, 33]",Apollo 13,1995,10.63,2.7,140,USA,Ron Howard,52000000,173837933,355237933,290152425.0,2031211243.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,38,"[28, 80, 14]",tt0112462,"[6194, 31080]",Batman Forever,1995,10.63,2.7,121,"USA, UK",Joel Schumacher,100000000,184069126,336567531,158518804.0,1988709553.5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,39,[35],tt0112541,"[14, 30334]",Blue in the Face,1995,10.63,2.7,83,USA,"Paul Auster, Wayne Wang",2000000,1268636,1268636,1.0,144881252.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,40,"[28, 35]",tt0109370,[1382],Canadian Bacon,1995,10.63,2.7,91,"USA, Canada",Michael Moore,11000000,163971,163971,1.0,454936540.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,41,"[14, 35, 10751]",tt0112642,"[33, 56, 11098]",Casper,1995,10.63,2.7,100,USA,Brad Silberling,50000000,100328194,287928194,1.0,1952158172.3333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42,42,"[9648, 80, 18]",tt0112688,"[33, 4319]",Clockers,1995,10.63,2.7,128,USA,Spike Lee,25000000,13071518,13071518,92052592.0,1884455687.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
43,43,"[28, 12, 18, 9648, 878, 53]",tt0112715,"[4, 7383]",Congo,1995,10.63,2.7,109,USA,Frank Marshall,50000000,81022101,152022101,36733909.0,1508148005.5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0
44,44,"[28, 53, 18]",tt0112740,"[915, 10288]",Crimson Tide,1995,10.63,2.7,116,USA,Tony Scott,53000000,91387195,157387195,71791476.0,262871841.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
45,45,"[53, 28, 80]",tt0112851,"[5, 11705]",Desperado,1995,10.63,2.7,104,"USA, Mexico",Robert Rodriguez,7000000,25405445,25405445,1.0,278940749.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
46,46,"[18, 9648, 53]",tt0112857,"[559, 2510]",Devil in a Blue Dress,1995,10.63,2.7,102,USA,Carl Franklin,27000000,16140822,16140822,1.0,902303877.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
47,47,"[28, 53]",tt0112864,"[306, 1504]",Die Hard: With a Vengeance,1995,10.63,2.7,128,USA,John McTiernan,90000000,100012499,366236538,137298489.0,1670785789.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
48,48,"[28, 12, 18, 10749]",tt0113071,"[441, 10158]",First Knight,1995,10.63,2.7,134,"USA, UK",Jerry Zucker,55000000,37600435,127600435,1.0,380924389.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49,49,"[28, 80, 53, 18]",tt0113243,"[60, 87394]",Hackers,1995,10.63,2.7,107,USA,Iain Softley,20000000,7563728,7563728,1.0,59973179.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
50,50,"[12, 28, 18, 878, 53]",tt0113481,"[559, 2480]",Johnny Mnemonic,1995,10.63,2.7,96,"Canada, USA",Robert Longo,26000000,19075720,19075720,1.0,902303877.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
51,51,[878],tt0113492,"[915, 1504]",Judge Dredd,1995,10.63,2.7,96,USA,Danny Cannon,90000000,34693481,113493481,1.0,317891697.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,52,"[18, 80]",tt0113540,[14],Kids,1995,10.63,2.7,91,USA,Larry Clark,1500000,7412216,7412216,1.0,289762505.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,53,"[18, 35]",tt0113677,"[13187, 13190]",Living in Oblivion,1995,10.63,2.7,90,USA,Tom DiCillo,500000,1111790,1111790,1.0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,54,"[10749, 35]",tt0113749,"[33, 37, 11462, 16934]",Mallrats,1995,10.63,2.7,94,USA,Kevin Smith,6000000,2122561,2122561,3151130.0,941133484.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55,55,"[28, 12, 878, 10751, 14]",tt0113820,"[306, 2106, 9255]",Mighty Morphin Power Rangers: The Movie,1995,10.63,2.7,95,"USA, Japan, Australia, New Zealand",Bryan Spicer,15000000,38187431,66433194,1.0,1073364224.6666666,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
56,56,"[80, 18, 9648, 53, 28]",tt0113957,[5],The Net,1995,10.63,2.7,114,USA,Irwin Winkler,22000000,50727965,110627965,1.0,557881499.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
57,57,[35],tt0114095,[37890],Party Girl,1995,10.63,2.7,94,USA,Daisy von Scherler Mayer,150000,472370,472370,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,58,"[14, 27, 53]",tt0114194,[7405],The Prophecy,1995,10.63,2.7,98,USA,Gregory Widen,8000000,16115878,16115878,1.0,6980987.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,59,"[18, 36, 10749]",tt0114345,"[915, 1504]",The Scarlet Letter,1995,10.63,2.7,135,USA,Roland JoffĂ„â€šĂ‚Â©,46000000,10382407,10382407,1.0,317891697.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
60,60,[18],tt0114436,"[60, 183, 14723]",Showgirls,1995,10.63,2.7,128,"France, USA",Paul Verhoeven,45000000,20350754,20350754,352927224.0,439194938.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,61,"[35, 18]",tt0114478,[14],Smoke,1995,10.63,2.7,112,"Germany, Japan, USA",Wayne Wang,7000000,8367636,8367636,32901136.0,289762505.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
62,62,"[878, 27, 28]",tt0114508,[8411],Species,1995,10.63,2.7,108,USA,Roger Donaldson,35000000,60074103,113374103,1.0,88154857.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
63,63,"[80, 18, 878, 53]",tt0114558,[574],Strange Days,1995,10.63,2.7,145,USA,Kathryn Bigelow,42000000,7959291,7959291,83531958.0,899767259.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
64,64,"[28, 53]",tt0114781,"[508, 6194, 17825, 21480, 63906]",Under Siege 2: Dark Territory,1995,10.63,2.7,100,USA,Geoff Murphy,60000000,50024083,104324083,1.0,909447610.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
65,65,"[18, 10749]",tt0114887,"[306, 2851]",A Walk in the Clouds,1995,10.63,2.7,102,"USA, Mexico",Alfonso Arau,20000000,50008143,50008143,1.0,1610046337.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,66,"[12, 28]",tt0114898,"[33, 1073, 1302, 6092]",Waterworld,1995,10.63,2.7,135,USA,Kevin Reynolds,175000000,88246220,264218220,390798978.0,1001056867.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,67,"[18, 10749]",tt0112471,"[98, 6194]",Before Sunrise,1995,10.63,2.7,101,"USA, Austria, Switzerland",Richard Linklater,2500000,5535405,5986708,7993039.0,1987071761.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
68,68,[35],tt0112508,[6365],Billy Madison,1995,10.63,2.7,89,USA,Tamra Davis,10000000,25588734,26488734,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,69,"[35, 18]",tt0112571,"[508, 644, 5358, 10104, 16192]",Boys on the Side,1995,10.63,2.7,115,"USA, France",Herbert Ross,21000000,23440188,23440188,1.0,491925070.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
70,70,"[18, 53]",tt0113303,[559],Hideaway,1995,10.63,2.7,106,USA,Brett Leonard,15000000,12201255,12201255,32100816.0,1804607754.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,71,"[35, 10751]",tt0110066,"[175, 915]",Houseguest,1995,10.63,2.7,113,USA,Randall Miller,10500000,26325256,26325256,1.0,314200973.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
72,72,"[18, 10749]",tt0113463,"[2370, 9195]",Jefferson in Paris,1995,10.63,2.7,139,"USA, France",James Ivory,14000000,2473668,2473668,23237911.0,325132744.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
73,73,[18],tt0113691,[4],Losing Isaiah,1995,10.63,2.7,111,USA,Stephen Gyllenhaal,17000000,7603766,7603766,1.0,3016296011.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,74,"[28, 18, 878, 53]",tt0114069,"[824, 2154, 6194, 16775]",Outbreak,1995,10.63,2.7,127,USA,Wolfgang Petersen,50000000,67659560,189859560,188508199.0,1003454170.75,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
75,75,"[35, 18, 10749]",tt0114113,[28205],The Perez Family,1995,10.63,2.7,113,USA,Mira Nair,11000000,2832826,2832826,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
76,76,"[28, 37]",tt0114214,[559],The Quick and the Dead,1995,10.63,2.7,107,"Japan, USA",Sam Raimi,32000000,18636537,18636537,1.0,1804607754.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
77,77,"[28, 35, 14, 878]",tt0114614,[2231],Tank Girl,1995,10.63,2.7,104,"USA, UK",Rachel Talalay,25000000,4064495,4064495,34872033.0,152368586.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
78,78,"[80, 27, 53]",tt0114609,"[4319, 11308]",Tales from the Hood,1995,10.63,2.7,98,USA,Rusty Cundieff,6000000,11837928,11837928,1.0,58580589.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
79,79,"[28, 80, 878, 53]",tt0114857,[4],Virtuosity,1995,10.63,2.7,106,USA,Brett Leonard,30000000,24047675,24047675,32100816.0,3016296011.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
80,80,"[35, 18, 10749]",tt0114924,"[175, 915]",While You Were Sleeping,1995,10.63,2.7,103,USA,Jon Turteltaub,17000000,81057016,182057016,154856263.0,314200973.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
81,81,"[27, 53]",tt0113253,[14],Halloween: The Curse of Michael Myers,1995,10.63,2.7,87,USA,Joe Chappelle,5000000,15116634,15116634,1.0,289762505.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
82,82,"[53, 10749]",tt0113965,[559],Never Talk to Strangers,1995,10.63,2.7,86,"USA, Canada, Germany",Peter Hall,6400000,6858261,6858261,1.0,1804607754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
83,83,"[28, 35, 18, 53]",tt0114371,"[236, 925, 65327]",Search and Destroy,1995,10.63,2.7,90,USA,David Salle,4000000,389503,389503,1.0,0.3333333333333333,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
85,85,"[16, 12, 10751]",tt0114108,"[8411, 90512]",The Pebble and the Penguin,1995,10.63,2.7,74,"Ireland, USA","Don Bluth, Gary Goldman",28000000,3983912,3983912,23030886.0,49764179.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,86,"[27, 28, 53, 80]",tt0116367,"[59, 7405, 11705, 53009]",From Dusk Till Dawn,1996,11.030999999999999,3.8,108,"USA, Mexico",Robert Rodriguez,19000000,25836616,25836616,25405445.0,66734688.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
87,87,"[35, 10751]",tt0115676,"[6194, 10210]",Big Bully,1996,11.030999999999999,3.8,90,USA,Steve Miner,15000000,2042530,2042530,1.0,3029984318.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,88,"[28, 18]",tt0118158,"[915, 1644, 1645]",White Squall,1996,11.030999999999999,3.8,129,"USA, UK",Ridley Scott,38000000,10292300,10292300,45360915.0,404603670.6666667,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
89,89,"[18, 27, 53, 10749]",tt0117002,"[559, 18737]",Mary Reilly,1996,11.030999999999999,3.8,108,"USA, UK",Stephen Frears,47000000,5707094,12379402,1.0,1070171144.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
90,90,"[28, 12, 18, 53]",tt0115759,"[306, 456, 11362]",Broken Arrow,1996,11.030999999999999,3.8,108,USA,John Woo,50000000,70770147,150270147,74189677.0,1261407568.3333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
91,91,"[35, 80, 18]",tt0115734,"[18, 441]",Bottle Rocket,1996,11.030999999999999,3.8,91,USA,Wes Anderson,7000000,560069,560069,1.0,522658251.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
92,92,[35],tt0116483,"[33, 1606, 3929]",Happy Gilmore,1996,11.030999999999999,3.8,92,USA,Dennis Dugan,12000000,38824099,41205099,1.0,1748024714.6666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,93,"[35, 10749]",tt0116324,[14],Flirting with Disaster,1996,11.030999999999999,3.8,92,USA,David O. Russell,7000000,14702438,14702438,1.0,333183245.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
94,94,[35],tt0115685,[60],The Birdcage,1996,11.030999999999999,3.8,117,USA,Mike Nichols,31000000,124060553,185260553,1.0,532084803.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,95,"[28, 12, 18, 53]",tt0116253,"[1885, 6194]",Executive Decision,1996,11.030999999999999,3.8,133,USA,Stuart Baird,55000000,56569216,121969216,1.0,2895015544.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
96,96,"[80, 18, 53]",tt0116282,"[1382, 10163]",Fargo,1996,11.030999999999999,3.8,98,"USA, UK","Joel Coen, Ethan Coen",7000000,24611975,60611975,6153939.0,271628652.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
97,97,"[27, 53, 878]",tt0116514,"[14, 7405, 15343]",Hellraiser: Bloodline,1996,11.030999999999999,3.8,85,USA,Kevin Yagher,4000000,9336886,9336886,1.0,122938356.66666667,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
98,98,"[80, 18, 9648, 53]",tt0117381,[4],Primal Fear,1996,11.030999999999999,3.8,129,USA,Gregory Hoblit,30000000,56116183,102616183,1.0,3237748245.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
99,99,[35],tt0116414,"[43, 4319]",Girl 6,1996,11.030999999999999,3.8,108,USA,Spike Lee,12000000,4939939,4939939,105124110.0,58481019.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,100,"[18, 53, 9648, 10752]",tt0115956,"[306, 1302]",Courage Under Fire,1996,11.030999999999999,3.8,116,USA,Edward Zwick,46000000,59031057,100860818,160638883.0,2187904805.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
101,101,"[12, 28, 53]",tt0117060,"[4, 44]",Mission: Impossible,1996,11.030999999999999,3.8,110,USA,Brian De Palma,80000000,180981856,457731166,116712776.0,1618874122.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
102,102,[14],tt0116136,[33],DragonHeart,1996,11.030999999999999,3.8,103,USA,Rob Cohen,57000000,51367375,115267375,63513743.0,5244074144.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,"[12, 16, 10751]",tt0116683,"[2, 1755]",James and the Giant Peach,1996,11.030999999999999,3.8,79,"UK, USA",Henry Selick,38000000,28946127,28946127,88170974.0,1373176359.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,104,"[35, 80, 18]",tt0116269,"[12, 14]",Faithful,1996,11.030999999999999,3.8,91,USA,Paul Mazursky,13000000,2104439,2104439,9563393.0,984295495.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
105,105,"[16, 35, 18, 10751, 14]",tt0117705,"[3592, 8816, 55527]",Space Jam,1996,11.030999999999999,3.8,88,USA,Joe Pytka,80000000,90418342,230418342,1.0,76264805.33333333,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
106,106,"[35, 10749, 18]",tt0117104,[559],Mrs. Winterbourne,1996,11.030999999999999,3.8,105,USA,Richard Benjamin,25000000,10082005,10082005,35419397.0,2140342289.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
107,107,"[28, 12]",tt0117420,"[33, 2982, 10828, 38114]",The Quest,1996,11.030999999999999,3.8,95,"USA, Canada",Jean-Claude Van Damme,30000000,21686547,57400547,1.0,1336430181.25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,108,"[12, 10751]",tt0116322,"[33, 27128, 38181]",Flipper,1996,11.030999999999999,3.8,95,USA,Alan Shapiro,25530000,20080020,20080020,13609396.0,1748024714.6666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,109,"[18, 14, 27, 53]",tt0115963,[5],The Craft,1996,11.030999999999999,3.8,101,USA,Andrew Fleming,15000000,24819936,24819936,1.0,978632542.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
110,110,"[28, 18, 80, 53]",tt0117260,[11787],Original Gangstas,1996,11.030999999999999,3.8,99,USA,"Larry Cohen, Fred Williamson",4800000,3718087,3718087,1.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
111,111,"[28, 12, 53]",tt0117500,"[915, 10288]",The Rock,1996,11.030999999999999,3.8,136,USA,Michael Bay,75000000,134069511,335062621,141407024.0,663932511.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
